,dttl,swin,dwin,tcprtt,synack,ackdat,label,proto_tcp,proto_udp,service_dns,state_CON,state_FIN,attack_cat_Analysis,attack_cat_DoS,attack_cat_Exploits,attack_cat_Normal
3,0.9921259842519685,1.0,1.0,0.0,0.0,0.0,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
11,0.9921259842519685,1.0,1.0,0.08797197561954033,0.1030002436053593,0.05497517311407306,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
15,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,0.0,0.0,0.0,0,0,0,1
17,0.9921259842519685,1.0,1.0,0.08070895457308035,0.11537344701583434,0.04291389203131045,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
21,0.9921259842519685,1.0,1.0,0.10359749970148291,0.1073987819732034,0.06974701224175087,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
22,0.9921259842519685,1.0,1.0,0.07542017116767805,0.10248769792935443,0.04202067186728658,6,1.0,0.0,0.0,1.0,0.0,0,0,0,1
28,0.9921259842519685,1.0,1.0,0.05694632461752918,0.08548404384896467,0.028809159158210213,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
30,0.9921259842519685,1.0,1.0,0.07084044966733793,0.0722884287454324,0.0481081919945845,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
31,0.9921259842519685,1.0,1.0,0.06750846245594358,0.09819049939098659,0.03528711199871353,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
32,0.9921259842519685,1.0,1.0,0.06119331697415044,0.056537880633373935,0.043684926418180114,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
34,0.9921259842519685,1.0,1.0,0.0787521583790724,0.056290377588306933,0.062154640847547966,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
35,0.9921259842519685,1.0,1.0,0.058598566313052505,0.09038733252131546,0.02877194165137589,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
39,0.9921259842519685,1.0,1.0,0.06007907683762415,0.0697198538367844,0.03776874726574212,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
41,0.9921259842519685,1.0,1.0,0.070360809873469,0.06592350791717416,0.04989954784240281,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
43,0.9921259842519685,1.0,1.0,0.051519351285501724,0.04037222898903775,0.039383144401819864,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
44,0.9921259842519685,1.0,1.0,0.07816049082915298,0.10301973203410474,0.04469752349091787,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
45,0.9921259842519685,1.0,1.0,0.059649748910244965,0.05855688185140073,0.04134162792183762,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
47,0.9921259842519685,1.0,1.0,0.04910438169399384,0.03991425091352009,0.03702018382639508,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
48,0.9921259842519685,1.0,1.0,0.05432608261074312,0.04197807551766138,0.04174259389169425,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
56,0.9921259842519685,1.0,1.0,0.04607091155710531,0.03297442143727161,0.0363453531836066,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
60,0.9921259842519685,1.0,1.0,0.0408129860964834,0.02267868453105968,0.034551188467347956,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
63,0.9921259842519685,1.0,1.0,0.05120607606349223,0.025294031668696707,0.044488262792113535,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
64,0.9921259842519685,1.0,1.0,0.0402219893714505,0.020414129110840437,0.0347485114752809,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
68,0.9921259842519685,1.0,1.0,0.06388064146958948,0.0518898903775883,0.048172795968712004,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
91,0.9921259842519685,1.0,1.0,0.0467759485128483,0.029489890377588302,0.03833894755912843,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
100,0.11417322834645668,1.0,1.0,0.00046622329613832945,0.0010816077953714979,9.83103954114325e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
103,0.11417322834645668,1.0,1.0,0.00048098144364198877,0.0011186358099878199,0.00010041704674167749,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
113,0.11417322834645668,1.0,1.0,0.0005091560888762476,0.001153714981729598,0.00011727025738363735,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
118,0.11417322834645668,1.0,1.0,0.00039176173373350274,0.0009120584652862362,8.145718476947263e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
133,0.9921259842519685,1.0,1.0,0.03127586868468681,0.032703532277710105,0.02095556299905692,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
137,0.11417322834645668,1.0,1.0,0.000429998752265711,0.0009802679658952496,9.690596119126918e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
