fibre_length,basalt_fiber_content,curaua_fiber_content,tensile_strength
4,100,0,50.38
4,100,0,30.36
4,75,25,25.24
4,75,25,27.22
4,75,25,23.01
4,50,50,23.71
4,50,50,26.87
4,50,50,22.89
4,25,75,32.67
4,25,75,32.11
4,25,75,29.97
4,25,75,27.7
4,0,100,10.54
4,0,100,17.2
4,0,100,13
8,100,0,35.52
8,100,0,41.84
8,100,0,24
8,100,0,21.03
8,100,0,28.82
8,75,25,39.14
8,75,25,32.6
8,75,25,31.3
8,50,50,25.39
8,50,50,31.1
8,50,50,29.02
8,50,50,29.52
8,50,50,38.65
8,25,75,26.75
8,25,75,21.57
8,25,75,27.98
8,25,75,24.14
8,0,100,20.91
8,0,100,28.8
12,100,0,31.49
12,100,0,27.87
12,100,0,21.42
12,75,25,24.43
12,50,50,25.65
12,50,50,21.26
12,25,75,21.15
12,0,100,33.67
12,0,100,36.83
12,0,100,34.4
12,0,100,36.36
