ILSS Predicted Values,Models,Index
5.210838486659161,Linear Reg,0
7.463945484675278,Linear Reg,1
7.398463043081025,Linear Reg,2
7.338800555178611,Linear Reg,3
7.918447915081204,Linear Reg,4
5.4627236345693975,Linear Reg,5
6.512516541064999,Linear Reg,6
6.147387257024204,Linear Reg,7
6.342017836918529,Linear Reg,8
6.0834803893414,Linear Reg,9
6.794462075572743,Ridge Reg,0
6.840629948447325,Ridge Reg,1
6.825637725933582,Ridge Reg,2
6.8247874809237405,Ridge Reg,3
6.840077504770822,Ridge Reg,4
6.189410962821591,Ridge Reg,5
6.206128851432617,Ridge Reg,6
6.195653286058788,Ridge Reg,7
6.200184329528759,Ridge Reg,8
6.1964999344861145,Ridge Reg,9
6.50908222775,Lasso Reg,0
6.50908222775,Lasso Reg,1
6.50908222775,Lasso Reg,2
6.50908222775,Lasso Reg,3
6.50908222775,Lasso Reg,4
6.50908222775,Lasso Reg,5
6.50908222775,Lasso Reg,6
6.50908222775,Lasso Reg,7
6.50908222775,Lasso Reg,8
6.50908222775,Lasso Reg,9
6.50908222775,ElasticNet Reg,0
6.50908222775,ElasticNet Reg,1
6.50908222775,ElasticNet Reg,2
6.50908222775,ElasticNet Reg,3
6.50908222775,ElasticNet Reg,4
6.50908222775,ElasticNet Reg,5
6.50908222775,ElasticNet Reg,6
6.50908222775,ElasticNet Reg,7
6.50908222775,ElasticNet Reg,8
6.50908222775,ElasticNet Reg,9
5.2108384866591635,Poly Reg - Degree 1,0
7.463945484675277,Poly Reg - Degree 1,1
7.398463043081025,Poly Reg - Degree 1,2
7.338800555178611,Poly Reg - Degree 1,3
7.918447915081203,Poly Reg - Degree 1,4
5.462723634569397,Poly Reg - Degree 1,5
6.512516541064998,Poly Reg - Degree 1,6
6.147387257024203,Poly Reg - Degree 1,7
6.34201783691853,Poly Reg - Degree 1,8
6.083480389341401,Poly Reg - Degree 1,9
6.65215,KNeighbors Reg,0
7.548349999999999,KNeighbors Reg,1
7.548349999999999,KNeighbors Reg,2
7.548349999999999,KNeighbors Reg,3
7.548349999999999,KNeighbors Reg,4
5.888470049333333,KNeighbors Reg,5
6.256202607333333,KNeighbors Reg,6
6.256202607333333,KNeighbors Reg,7
6.256202607333333,KNeighbors Reg,8
6.256202607333333,KNeighbors Reg,9
5.2215,DecisionTree Reg,0
7.9101,DecisionTree Reg,1
7.39715,DecisionTree Reg,2
7.3378,DecisionTree Reg,3
7.9101,DecisionTree Reg,4
5.4375,DecisionTree Reg,5
6.540697674,DecisionTree Reg,6
6.145134228,DecisionTree Reg,7
6.145134228,DecisionTree Reg,8
6.08277592,DecisionTree Reg,9
5.678475819019997,RandomForest Reg,0
7.57628531902001,RandomForest Reg,1
7.381785772500007,RandomForest Reg,2
7.361013272500006,RandomForest Reg,3
7.719529819020013,RandomForest Reg,4
5.548543660500001,RandomForest Reg,5
6.336678637359992,RandomForest Reg,6
6.169100995599999,RandomForest Reg,7
6.198465874940001,RandomForest Reg,8
6.142910506240005,RandomForest Reg,9
7.07853102991211,SupportVector Reg,0
7.104854322018368,SupportVector Reg,1
7.093193885906019,SupportVector Reg,2
7.092817800311297,SupportVector Reg,3
7.102148037105378,SupportVector Reg,4
6.338490976207857,SupportVector Reg,5
6.3462150932365535,SupportVector Reg,6
6.339616761065079,SupportVector Reg,7
6.342233230205903,SupportVector Reg,8
6.3406757811592165,SupportVector Reg,9
5.22153419998515,GradientBoosting Reg,0
7.738844598173875,GradientBoosting Reg,1
7.397122946239444,GradientBoosting Reg,2
7.3377814535349035,GradientBoosting Reg,3
7.910062787008102,GradientBoosting Reg,4
5.437528462722992,GradientBoosting Reg,5
6.54069457613934,GradientBoosting Reg,6
6.14514111574692,GradientBoosting Reg,7
6.132925868380637,GradientBoosting Reg,8
6.082792280623144,GradientBoosting Reg,9
5.2215,Actual Targets,0
7.4652,Actual Targets,1
7.39715,Actual Targets,2
7.3378,Actual Targets,3
7.9101,Actual Targets,4
5.4375,Actual Targets,5
6.540697674,Actual Targets,6
6.145134228,Actual Targets,7
6.35451505,Actual Targets,8
6.08277592,Actual Targets,9
