ThicknessSwelling Predicted Values,Models,Index
-0.174758560787736,Linear Reg,0
0.5995421390484313,Linear Reg,1
1.330815414856355,Linear Reg,2
1.8090634177929565,Linear Reg,3
2.4505786030034034,Linear Reg,4
2.809253964265298,Linear Reg,5
3.1830467877111137,Linear Reg,6
3.5542522683052873,Linear Reg,7
3.9357531656909224,Linear Reg,8
4.250717342948424,Linear Reg,9
4.570820403591534,Linear Reg,10
-0.08712049485293383,Ridge Reg,0
0.6483547022572171,Ridge Reg,1
1.34510185004696,Ridge Reg,2
1.8141064483260014,Ridge Reg,3
2.4300642893405366,Ridge Reg,4
2.791444151332558,Ridge Reg,5
3.1664309125122694,Ridge Reg,6
3.5390888626178754,Ridge Reg,7
3.9210134936433554,Ridge Reg,8
4.243049868819519,Ridge Reg,9
4.569711641255788,Ridge Reg,10
1.0560240402903818,Lasso Reg,0
1.372747939745917,Lasso Reg,1
1.6894718392014525,Lasso Reg,2
2.006195738656988,Lasso Reg,3
2.3229196381125234,Lasso Reg,4
2.639643537568059,Lasso Reg,5
2.956367437023594,Lasso Reg,6
3.273091336479129,Lasso Reg,7
3.5898152359346645,Lasso Reg,8
3.9065391353902,Lasso Reg,9
4.223263034845735,Lasso Reg,10
0.8638160120068614,ElasticNet Reg,0
1.2180439169811326,ElasticNet Reg,1
1.5722718219554035,ElasticNet Reg,2
1.9264997269296746,ElasticNet Reg,3
2.280727631903946,ElasticNet Reg,4
2.6349555368782163,ElasticNet Reg,5
2.9891834418524876,ElasticNet Reg,6
3.343411346826759,ElasticNet Reg,7
3.6976392518010295,ElasticNet Reg,8
4.051867156775301,ElasticNet Reg,9
4.406095061749571,ElasticNet Reg,10
-0.2353708478515628,Poly Reg - Degree 4,0
0.2589599999999842,Poly Reg - Degree 4,1
1.71398499999999,Poly Reg - Degree 4,2
2.128432999999997,Poly Reg - Degree 4,3
2.283737000000003,Poly Reg - Degree 4,4
2.4470432898684065,Poly Reg - Degree 4,5
2.9551239999999934,Poly Reg - Degree 4,6
3.5801329999999885,Poly Reg - Degree 4,7
3.7354501999999803,Poly Reg - Degree 4,8
4.639508543727131,Poly Reg - Degree 4,9
4.778049999999964,Poly Reg - Degree 4,10
1.367126,KNeighbors Reg,0
1.367126,KNeighbors Reg,1
1.3671259999999998,KNeighbors Reg,2
2.0420516666666666,KNeighbors Reg,3
2.4557646666666666,KNeighbors Reg,4
2.939664666666667,KNeighbors Reg,5
2.939664666666667,KNeighbors Reg,6
3.423569066666667,KNeighbors Reg,7
4.031211066666667,KNeighbors Reg,8
4.031211066666667,KNeighbors Reg,9
4.031211066666667,KNeighbors Reg,10
0.25896,DecisionTree Reg,0
0.25896,DecisionTree Reg,1
1.713985,DecisionTree Reg,2
2.128433,DecisionTree Reg,3
2.283737,DecisionTree Reg,4
2.283737,DecisionTree Reg,5
2.955124,DecisionTree Reg,6
3.580133,DecisionTree Reg,7
3.7354502,DecisionTree Reg,8
3.7354502,DecisionTree Reg,9
4.77805,DecisionTree Reg,10
0.8018892300000006,RandomForest Reg,0
0.8018892300000006,RandomForest Reg,1
1.5708465299999999,RandomForest Reg,2
2.0428434400000013,RandomForest Reg,3
2.4056948820000015,RandomForest Reg,4
2.5090643320000026,RandomForest Reg,5
3.0420213640000036,RandomForest Reg,6
3.474923601999998,RandomForest Reg,7
3.7847159440000007,RandomForest Reg,8
3.998276680000002,RandomForest Reg,9
4.436168596000004,RandomForest Reg,10
2.0637423827501404,SupportVector Reg,0
1.6640324150367198,SupportVector Reg,1
1.8143230341739218,SupportVector Reg,2
2.0351266764041718,SupportVector Reg,3
2.3835326970738717,SupportVector Reg,4
2.6658819492852985,SupportVector Reg,5
3.055218640188273,SupportVector Reg,6
3.4795665640680196,SupportVector Reg,7
3.835788303147315,SupportVector Reg,8
4.02876466435779,SupportVector Reg,9
4.018572279946396,SupportVector Reg,10
0.2590242858637954,GradientBoosting Reg,0
0.2590242858637954,GradientBoosting Reg,1
1.714021392335844,GradientBoosting Reg,2
2.128452103857454,GradientBoosting Reg,3
2.283741261590412,GradientBoosting Reg,4
2.283741261590412,GradientBoosting Reg,5
2.9551144179058677,GradientBoosting Reg,6
3.5801095338014366,GradientBoosting Reg,7
3.735414952133494,GradientBoosting Reg,8
3.8128222158413507,GradientBoosting Reg,9
4.777994252511697,GradientBoosting Reg,10
0.0,Actual Targets,0
0.25896,Actual Targets,1
1.713985,Actual Targets,2
2.128433,Actual Targets,3
2.283737,Actual Targets,4
2.489552,Actual Targets,5
2.955124,Actual Targets,6
3.580133,Actual Targets,7
3.7354502,Actual Targets,8
4.77805,Actual Targets,9
4.77805,Actual Targets,10
